,Title,Genre,Favorite count,Maximum Visits,Total Visitors,likes count,dislikes count,Description,Date Created,Date Updated,new_text
10,bee swarm simulator,Adventure,4303398,6,1474675791,1212009,68750,"Grow your own swarm of bees, collect pollen, and make honey in Bee Swarm Simulator! Meet friendly bears, complete their quests and get rewards! As your hive grows larger and larger, you can explore further up the mountain. Use your bees to defeat dangerous bugs and monsters. Look for treasures hidden around the map. Discover new types of bees, all with their own traits and personalities!

Join Bee Swarm Simulator Club for free Honey, Treats and Codes!: https://www.roblox.com/My/Groups.aspx?gid=3982592",3/21/2018,4/21/2021,"bee swarm simulatorGrow your own swarm of bees, collect pollen, and make honey in Bee Swarm Simulator! Meet friendly bears, complete their quests and get rewards! As your hive grows larger and larger, you can explore further up the mountain. Use your bees to defeat dangerous bugs and monsters. Look for treasures hidden around the map. Discover new types of bees, all with their own traits and personalities!

Join Bee Swarm Simulator Club for free Honey, Treats and Codes!: https://www.roblox.com/My/Groups.aspx?gid=3982592"
11,new update your bizarre adventure,RPG,555607,16,309577276,363530,36651,"✨ 『NEW UPDATE』  ✨
➢ New stand models, auras, skins
➢ New VFX
➢ 2 New Codes in the youtube channel below and more!

Welcome to Your Bizarre Adventure, an RPG-styled game that revolves around obtaining strong and unique spiritual abilities known as ""STANDS"", fighting gangs, and more! Read the help section in-game! JOIN OUR COMMUNITY'S SERVER LINK BELOW FOR CODES, UPDATES, ANNOUNCEMENTS, AND MORE HELP!

Give the game page a thumbs-up like and subscribe to our Youtube below for more codes:
➢ youtube.com/channel/UCwxB9DjiJKOcZbDPIvsCZBg?sub_confirmation=1

Disclaimers:
➢ You will be banned for any form of exploiting and there will be no appeals unless you have high quality video evidence that shows it was you getting falsely banned as it happened. It is highly suggested to use the applications ""Medal"" or ""Shadowplay"" to achieve this for your own safety.

Arrivederci!",2/2/2019,5/23/2021,"new update your bizarre adventure✨ 『NEW UPDATE』  ✨
➢ New stand models, auras, skins
➢ New VFX
➢ 2 New Codes in the youtube channel below and more!

Welcome to Your Bizarre Adventure, an RPG-styled game that revolves around obtaining strong and unique spiritual abilities known as ""STANDS"", fighting gangs, and more! Read the help section in-game! JOIN OUR COMMUNITY'S SERVER LINK BELOW FOR CODES, UPDATES, ANNOUNCEMENTS, AND MORE HELP!

Give the game page a thumbs-up like and subscribe to our Youtube below for more codes:
➢ youtube.com/channel/UCwxB9DjiJKOcZbDPIvsCZBg?sub_confirmation=1

Disclaimers:
➢ You will be banned for any form of exploiting and there will be no appeals unless you have high quality video evidence that shows it was you getting falsely banned as it happened. It is highly suggested to use the applications ""Medal"" or ""Shadowplay"" to achieve this for your own safety.

Arrivederci!"
12,[grand opening] slayer tycoon,All Genres,74521,12,8097767,20484,5231,"Watch out for bugs, this game is still new so there is plenty of them
--------
[ ! ] This game only contains content from the anime, movie, and my own original creations. I haven't read the manga yet. [ ! ]
---------
Q - Roll (Button Y on Xbox)
E, R, T, Y, etc. - Katana/Art abilities (DPad on Xbox)
---------
Update logs are posted in the CJS discoard
---------
This game is not designed to save. Do not expect saving.
---------
Slayer Tycoon is a 2 player combat-based game inspired by the anime series Demon Slayer : Kimetsu no Yaiba
---------
DEVS:
Coldjason (Me) - Creator
AzuriteStorm - Map builder",3/8/2021,5/25/2021,"[grand opening] slayer tycoonWatch out for bugs, this game is still new so there is plenty of them
--------
[ ! ] This game only contains content from the anime, movie, and my own original creations. I haven't read the manga yet. [ ! ]
---------
Q - Roll (Button Y on Xbox)
E, R, T, Y, etc. - Katana/Art abilities (DPad on Xbox)
---------
Update logs are posted in the CJS discoard
---------
This game is not designed to save. Do not expect saving.
---------
Slayer Tycoon is a 2 player combat-based game inspired by the anime series Demon Slayer : Kimetsu no Yaiba
---------
DEVS:
Coldjason (Me) - Creator
AzuriteStorm - Map builder"
13,(vari) loomian legacy,Adventure,2386564,20,665264296,730241,58003,The fourth battle theatre is currently under development. Follow us on twitter for updates and events in the Loomian Legacy. @Llama_Train_S,10/16/2015,5/24/2021,(vari) loomian legacyThe fourth battle theatre is currently under development. Follow us on twitter for updates and events in the Loomian Legacy. @Llama_Train_S
14,warrior cats: ultimate edition,RPG,288532,60,26651731,67362,3727," MAY 15 UPDATE: Picking up kits, 3 new emotes + much more!

Create your own Warrior Cat and roleplay in this official game based on ""Warriors"", The New York Times best-selling series of fantasy books.

Warrior Cats: Ultimate Edition brings the ""Warriors"" series off the written page and into the Roblox world!

 Create your own Warrior Cats, and your own story.
 Choose the path of a Warrior, a Medicine Cat, or perhaps even a Clan Leader!
 ️Explore the Forest Territory and the Clans who inhabit it...
 Develop friendships, alliances, and identify your foes!
 Construct your own story in this immersive environment, and control your own destiny.

⚠️This game is Mobile/Tablet compatible, but may not run well on older devices.

Controls:
Q/E to change speeds.
V to drop held item.
M to open/close minmap
Shift+P to toggle cinematic camera
Animation hotkeys found ingame!

Asset Attributions:
https://devforum.roblox.com/t/warriorcatsrp-asset-attributions",8/15/2019,5/25/2021,"warrior cats: ultimate edition MAY 15 UPDATE: Picking up kits, 3 new emotes + much more!

Create your own Warrior Cat and roleplay in this official game based on ""Warriors"", The New York Times best-selling series of fantasy books.

Warrior Cats: Ultimate Edition brings the ""Warriors"" series off the written page and into the Roblox world!

 Create your own Warrior Cats, and your own story.
 Choose the path of a Warrior, a Medicine Cat, or perhaps even a Clan Leader!
 ️Explore the Forest Territory and the Clans who inhabit it...
 Develop friendships, alliances, and identify your foes!
 Construct your own story in this immersive environment, and control your own destiny.

⚠️This game is Mobile/Tablet compatible, but may not run well on older devices.

Controls:
Q/E to change speeds.
V to drop held item.
M to open/close minmap
Shift+P to toggle cinematic camera
Animation hotkeys found ingame!

Asset Attributions:
https://devforum.roblox.com/t/warriorcatsrp-asset-attributions"
15,[release + huge update] stands awakening [beta],All Genres,47129,15,8065405,20192,4064,"JOIN THE GROUP:
https://www.roblox.com/groups/7944567/Awakened-Productions#!/about

NOTE: THIS IS ONLY THE BASE REVAMP, MORE CONTENT IS BEING ADDED IN THE FUTURE

Welcome to Stands Awakening, the rewritten version of A Bizarre Day Modded 

Stands Awakening functions like A Bizarre Day Modded but with a rewritten and improved upon source code which will help cut down on exploiters and bugs with some small yet good features like cooldown and damage indicators Currently, Stands Awakening is in its Beta stage, and is nowhere near a complete state, new content and Stand reworks will be added as time goes on.

waht the j",10/3/2020,5/19/2021,"[release + huge update] stands awakening [beta]JOIN THE GROUP:
https://www.roblox.com/groups/7944567/Awakened-Productions#!/about

NOTE: THIS IS ONLY THE BASE REVAMP, MORE CONTENT IS BEING ADDED IN THE FUTURE

Welcome to Stands Awakening, the rewritten version of A Bizarre Day Modded 

Stands Awakening functions like A Bizarre Day Modded but with a rewritten and improved upon source code which will help cut down on exploiters and bugs with some small yet good features like cooldown and damage indicators Currently, Stands Awakening is in its Beta stage, and is nowhere near a complete state, new content and Stand reworks will be added as time goes on.

waht the j"
16,  week iv     bitcoin miner [beta],Building,214594,6,27721337,78317,15305,"Welcome to Bitcoin Miner, in this game you can mine bitcoin or other cryptocurrencies, upgrade new cards, buy new mining devices and many other.


 Game still under construction so expect new Updates soon.


 New game updates coming soon!
- ❗ Quest System Rework!




 update log  
-   Bit Event 2!
-   Exchanger revamp!
-  ️ New Change Card Ui!
-   New Decorations
- Unloading plots
- Fast Card Placement
-   Some Sound effects!
- ⚙️ Bug Fixes!


⚠️Note: This is just a simulation, all cryptocurrencies are ONLY in-game items, NOT connected to real world ones

⬇️ Check Social links for new Update info

Ps. Sorry but we won't add Dogecoin to this game. We always try to do what players want but adding Dogecoin is impossible for many reasons.",12/7/2018,5/27/2021,"  week iv     bitcoin miner [beta]Welcome to Bitcoin Miner, in this game you can mine bitcoin or other cryptocurrencies, upgrade new cards, buy new mining devices and many other.


 Game still under construction so expect new Updates soon.


 New game updates coming soon!
- ❗ Quest System Rework!




 update log  
-   Bit Event 2!
-   Exchanger revamp!
-  ️ New Change Card Ui!
-   New Decorations
- Unloading plots
- Fast Card Placement
-   Some Sound effects!
- ⚙️ Bug Fixes!


⚠️Note: This is just a simulation, all cryptocurrencies are ONLY in-game items, NOT connected to real world ones

⬇️ Check Social links for new Update info

Ps. Sorry but we won't add Dogecoin to this game. We always try to do what players want but adding Dogecoin is impossible for many reasons."
17,islands   [mailbox + countdown!],All Genres,2361468,15,1100229430,726929,96731,"Welcome to Islands!

  Build your own island
 ‍  Create huge farms
  Raise animals
  Sell items to make money
⚔️ Loot monsters and bosses
 ‍  Cook tasty delicacies
  And more!

Controls:
[E]: Open inventory

  Creators:
SnickTrix (https://twitter.com/lukechatton)
spleenhook (https://twitter.com/spleenhook)

🥁Music by https://twitter.com/too_many_fish",4/8/2020,5/25/2021,"islands   [mailbox + countdown!]Welcome to Islands!

  Build your own island
 ‍  Create huge farms
  Raise animals
  Sell items to make money
⚔️ Loot monsters and bosses
 ‍  Cook tasty delicacies
  And more!

Controls:
[E]: Open inventory

  Creators:
SnickTrix (https://twitter.com/lukechatton)
spleenhook (https://twitter.com/spleenhook)

🥁Music by https://twitter.com/too_many_fish"
18,theme park tycoon 2,Building,4212908,6,623316045,1142708,126028,"In Theme Park Tycoon 2 you get your own plot of land to build your own theme park on, together with your friends! Construct a range of rides the way you want and design your own roller coasters to truly make your park your own! Select from hundreds of scenery pieces to decorate your park further!",1/2/2012,5/4/2021,"theme park tycoon 2In Theme Park Tycoon 2 you get your own plot of land to build your own theme park on, together with your friends! Construct a range of rides the way you want and design your own roller coasters to truly make your park your own! Select from hundreds of scenery pieces to decorate your park further!"
19,egg farm simulator,All Genres,817773,6,106643179,235564,39251,"Welcome to yet another simulator. This one is about eggs. 

[2019-12-03]
- Auto-Eggs
- Winter map
- Bug Fixes
",5/22/2018,5/24/2021,"egg farm simulatorWelcome to yet another simulator. This one is about eggs. 

[2019-12-03]
- Auto-Eggs
- Winter map
- Bug Fixes
"
20,welcome to bloxburg,Town and City,10086146,12,4469337748,3302258,293976,"Build and design your own amazing house, own cool vehicles, hang out with friends, work, roleplay or explore the city of Bloxburg. The possibilities are endless!

Version: 0.9.7
Update Log: https://devforum.roblox.com/t/--/361910",11/4/2014,5/15/2021,"welcome to bloxburgBuild and design your own amazing house, own cool vehicles, hang out with friends, work, roleplay or explore the city of Bloxburg. The possibilities are endless!

Version: 0.9.7
Update Log: https://devforum.roblox.com/t/--/361910"
21,  super power training simulator,Fighting,1212548,30,214928178,352822,133482,"  Welcome to Superpowers Training Simulator!  
  Train your Fists and punch like Superman!
  Train your Body and become Invincible!
✨ Train your mind to achieve psychic powers!
⚡️ Train your speed to the point of teleportation!
☄️ Take the path of Superhero or Supervillain!
  Compete in Global Leaderboards, and much more!

  UPDATE LOG {V 1.7}  
-   Added Day & Night Cycle System!
-    Added Special Halloween NPCs Quests & Skills!
- ⚜️ Added Many Secret Training Areas!
-    Added New Auras & Skills Tier!
- ⚔️ Removed Safe Zone In City Port!
-   Give +5 Tokens Every Minute Outside Safe Zone!
-   Fixed OP Weight Glitch & Many Minor Bugs!

[ By Thai Devs Team   ]",8/10/2018,9/4/2020,"  super power training simulator  Welcome to Superpowers Training Simulator!  
  Train your Fists and punch like Superman!
  Train your Body and become Invincible!
✨ Train your mind to achieve psychic powers!
⚡️ Train your speed to the point of teleportation!
☄️ Take the path of Superhero or Supervillain!
  Compete in Global Leaderboards, and much more!

  UPDATE LOG {V 1.7}  
-   Added Day & Night Cycle System!
-    Added Special Halloween NPCs Quests & Skills!
- ⚜️ Added Many Secret Training Areas!
-    Added New Auras & Skills Tier!
- ⚔️ Removed Safe Zone In City Port!
-   Give +5 Tokens Every Minute Outside Safe Zone!
-   Fixed OP Weight Glitch & Many Minor Bugs!

[ By Thai Devs Team   ]"
22,vaumora! creatures of sonaria,All Genres,371392,51,67332552,109018,12817,"Creatures of Sonaria is a WIP of a creature survival game!

⚡VAUMORA IS HERE! Mission creature that can be acquired during special weather events! Join our communities to learn more⚡

 New creature, Militrua! Acquire this one by completing a secret mission!

🦑Play as a variety of creatures
 ️Grow up and survive in a beautiful world
⚠️Play as: bleeder/toxic/tank/flier/etc!
☄️ Use exciting combat abilities
 Hang out and socialize with friends
⚔️Group with others and battle as a team
 Hunt in a vast universe
♻️Save, trade, and store your grown creatures
 Nest in adorable babies, and act as their parent to raise them!
⛈️Survive various seasons, weather, and disasters
✨ Reach a full adult, and mutate to become even stronger
🩹 Survive harsh battles, and earn permanent battle scars
",6/25/2020,5/26/2021,"vaumora! creatures of sonariaCreatures of Sonaria is a WIP of a creature survival game!

⚡VAUMORA IS HERE! Mission creature that can be acquired during special weather events! Join our communities to learn more⚡

 New creature, Militrua! Acquire this one by completing a secret mission!

🦑Play as a variety of creatures
 ️Grow up and survive in a beautiful world
⚠️Play as: bleeder/toxic/tank/flier/etc!
☄️ Use exciting combat abilities
 Hang out and socialize with friends
⚔️Group with others and battle as a team
 Hunt in a vast universe
♻️Save, trade, and store your grown creatures
 Nest in adorable babies, and act as their parent to raise them!
⛈️Survive various seasons, weather, and disasters
✨ Reach a full adult, and mutate to become even stronger
🩹 Survive harsh battles, and earn permanent battle scars
"
23,[ super luck ] bubble gum simulator,All Genres,3174269,10,1123102610,919908,119752,"Super Luck Event!
-   2x Luck
-   2x Mythic
- ⚡ 2x Hatch Speed

  UPDATE 75  
  New Bubble Pass for season 20!
  Competitive leaderboards are back!
🥚 New egg in the Shadow Realm (Corrupted Egg)
  16 new pets!
  ??
  60% off sale on all gamepasses!
  50% off sale on all boosts!
  Easter event has ended! We hope you enjoyed our biggest egg hunt yet
  Bug fixes for gamepad auto-hatch.

Subscribe to the Rumble Studios YouTube channel to redeem exclusive rewards, including a special pet, more inventory space, and free boosts!   Tutorial: https://youtu.be/NweUYpsrS3c

Welcome to Bubble Gum Simulator! Blow bubbles to reach new heights in the clouds. Sell your bubbles or collect coins to buy upgrades! Hatch pets as companions to help you on your adventure.

A game by Rumble Studios.",10/23/2018,5/8/2021,"[ super luck ] bubble gum simulatorSuper Luck Event!
-   2x Luck
-   2x Mythic
- ⚡ 2x Hatch Speed

  UPDATE 75  
  New Bubble Pass for season 20!
  Competitive leaderboards are back!
🥚 New egg in the Shadow Realm (Corrupted Egg)
  16 new pets!
  ??
  60% off sale on all gamepasses!
  50% off sale on all boosts!
  Easter event has ended! We hope you enjoyed our biggest egg hunt yet
  Bug fixes for gamepad auto-hatch.

Subscribe to the Rumble Studios YouTube channel to redeem exclusive rewards, including a special pet, more inventory space, and free boosts!   Tutorial: https://youtu.be/NweUYpsrS3c

Welcome to Bubble Gum Simulator! Blow bubbles to reach new heights in the clouds. Sell your bubbles or collect coins to buy upgrades! Hatch pets as companions to help you on your adventure.

A game by Rumble Studios."
24, super power fighting simulator,Fighting,453185,20,117539399,139917,12212,"  Train your body, fists, mind and speed in this ultimate training game! Unlock new skills, reach powerful ranks, team up with friends, venture to new islands & much more!  

  This Game Has Free VIP Servers!  

  Update Log (V11.0)  
-   Added Galaxy Ancient Item Chest!
- ☄️ 3 New Boss Skills From Quests!
-   Added New Powerful Transformations!
-   Added New Limited Time Special Offers To Shop!
-   Bug Fixes & Improvements

⚔️ Bounty, Killstreaks & Reputation can not be gained or lost in VIP Servers or Space Dimension! ⚔️

[ Inspired By Super Power Training Simulator ]",12/3/2018,5/16/2021," super power fighting simulator  Train your body, fists, mind and speed in this ultimate training game! Unlock new skills, reach powerful ranks, team up with friends, venture to new islands & much more!  

  This Game Has Free VIP Servers!  

  Update Log (V11.0)  
-   Added Galaxy Ancient Item Chest!
- ☄️ 3 New Boss Skills From Quests!
-   Added New Powerful Transformations!
-   Added New Limited Time Special Offers To Shop!
-   Bug Fixes & Improvements

⚔️ Bounty, Killstreaks & Reputation can not be gained or lost in VIP Servers or Space Dimension! ⚔️

[ Inspired By Super Power Training Simulator ]"
25,[ gold boost!] giant simulator,All Genres,440583,15,108135780,107147,19672,"🧬 Pet evolutions are now available! Merge 5 pets into a new Evolved pet that is 2x stronger!

[XBOX]
  Giant Simulator is now on Xbox!

 Like ⭐Favorite and  Follow the game for more updates!

[Group - Join for in game bonus!]
https://www.roblox.com/groups/3497226/Mithril-Games

Welcome to Giant Simulator! The most competitive simulator on Roblox! Train to become the strongest, fastest, richest player around! Find epic loot and legendary pets as you level up and dominate the server  . Can you become a Giant legend?",3/22/2019,5/25/2021,"[ gold boost!] giant simulator🧬 Pet evolutions are now available! Merge 5 pets into a new Evolved pet that is 2x stronger!

[XBOX]
  Giant Simulator is now on Xbox!

 Like ⭐Favorite and  Follow the game for more updates!

[Group - Join for in game bonus!]
https://www.roblox.com/groups/3497226/Mithril-Games

Welcome to Giant Simulator! The most competitive simulator on Roblox! Train to become the strongest, fastest, richest player around! Find epic loot and legendary pets as you level up and dominate the server  . Can you become a Giant legend?"
