,Title,Genre,Favorite count,Maximum Visits,Total Visitors,likes count,dislikes count,Description,Date Created,Date Updated
10,bee swarm simulator,Adventure,4299587,6,1472764017,1210257,68710,"Grow your own swarm of bees, collect pollen, and make honey in Bee Swarm Simulator! Meet friendly bears, complete their quests and get rewards! As your hive grows larger and larger, you can explore further up the mountain. Use your bees to defeat dangerous bugs and monsters. Look for treasures hidden around the map. Discover new types of bees, all with their own traits and personalities!

Join Bee Swarm Simulator Club for free Honey, Treats and Codes!: https://www.roblox.com/My/Groups.aspx?gid=3982592",3/21/2018,4/21/2021
11,new update your bizarre adventure,RPG,549765,16,305065798,359351,36275,"✨🏹『NEW UPDATE』 🏹✨
➢ New stand models, auras, skins
➢ New VFX
➢ 2 New Codes in the youtube channel below and more!

Welcome to Your Bizarre Adventure, an RPG-styled game that revolves around obtaining strong and unique spiritual abilities known as ""STANDS"", fighting gangs, and more! Read the help section in-game! JOIN OUR COMMUNITY'S SERVER LINK BELOW FOR CODES, UPDATES, ANNOUNCEMENTS, AND MORE HELP!

Give the game page a thumbs-up like and subscribe to our Youtube below for more codes:
➢ youtube.com/channel/UCwxB9DjiJKOcZbDPIvsCZBg?sub_confirmation=1

Disclaimers:
➢ You will be banned for any form of exploiting and there will be no appeals unless you have high quality video evidence that shows it was you getting falsely banned as it happened. It is highly suggested to use the applications ""Medal"" or ""Shadowplay"" to achieve this for your own safety.

Arrivederci!",2/2/2019,5/23/2021
12,[grand opening] slayer tycoon,All Genres,71050,12,7552461,19360,5004,"Watch out for bugs, this game is still new so there is plenty of them
--------
[ ! ] This game only contains content from the anime, movie, and my own original creations. I haven't read the manga yet. [ ! ]
---------
Q - Roll (Button Y on Xbox)
E, R, T, Y, etc. - Katana/Art abilities (DPad on Xbox)
---------
Update logs are posted in the CJS discoard
---------
This game is not designed to save. Do not expect saving.
---------
Slayer Tycoon is a 2 player combat-based game inspired by the anime series Demon Slayer : Kimetsu no Yaiba
---------
DEVS:
Coldjason (Me) - Creator
AzuriteStorm - Map builder",3/8/2021,5/24/2021
13,(vari) loomian legacy,Adventure,2385179,20,664825929,729687,57903,The fourth battle theatre is currently under development. Follow us on twitter for updates and events in the Loomian Legacy. @Llama_Train_S,10/16/2015,5/24/2021
14,warrior cats: ultimate edition,RPG,284070,60,26004838,66140,3667,"🚀MAY 15 UPDATE: Picking up kits, 3 new emotes + much more!

Create your own Warrior Cat and roleplay in this official game based on ""Warriors"", The New York Times best-selling series of fantasy books.

Warrior Cats: Ultimate Edition brings the ""Warriors"" series off the written page and into the Roblox world!

🎨Create your own Warrior Cats, and your own story.
🐾Choose the path of a Warrior, a Medicine Cat, or perhaps even a Clan Leader!
🗺️Explore the Forest Territory and the Clans who inhabit it...
💬Develop friendships, alliances, and identify your foes!
🌟Construct your own story in this immersive environment, and control your own destiny.

⚠️This game is Mobile/Tablet compatible, but may not run well on older devices.

Controls:
Q/E to change speeds.
V to drop held item.
M to open/close minmap
Shift+P to toggle cinematic camera
Animation hotkeys found ingame!

Asset Attributions:
https://devforum.roblox.com/t/warriorcatsrp-asset-attributions",8/15/2019,5/25/2021
15,[release + huge update] stands awakening [beta],All Genres,41414,15,6538688,17506,3569,"JOIN THE GROUP:
https://www.roblox.com/groups/7944567/Awakened-Productions#!/about

NOTE: THIS IS ONLY THE BASE REVAMP, MORE CONTENT IS BEING ADDED IN THE FUTURE

Welcome to Stands Awakening, the rewritten version of A Bizarre Day Modded 

Stands Awakening functions like A Bizarre Day Modded but with a rewritten and improved upon source code which will help cut down on exploiters and bugs with some small yet good features like cooldown and damage indicators Currently, Stands Awakening is in its Beta stage, and is nowhere near a complete state, new content and Stand reworks will be added as time goes on.

waht the j",10/3/2020,5/19/2021
16,  week iv     bitcoin miner [beta],Building,211444,6,27310252,77436,15156,"Welcome to Bitcoin Miner, in this game you can mine bitcoin or other cryptocurrencies, upgrade new cards, buy new mining devices and many other.


🚧Game still under construction so expect new Updates soon.


💡New game updates coming soon!
- ❗ Quest System Rework!




📕update log 📕
- 🎉 Bit Event 2!
- 💱 Exchanger revamp!
- 🖥️ New Change Card Ui!
- 🌿 New Decorations
- Unloading plots
- Fast Card Placement
- 🔊 Some Sound effects!
- ⚙️ Bug Fixes!


⚠️Note: This is just a simulation, all cryptocurrencies are ONLY in-game items, NOT connected to real world ones

⬇️ Check Social links for new Update info

Ps. Sorry but we won't add Dogecoin to this game. We always try to do what players want but adding Dogecoin is impossible for many reasons.",12/7/2018,5/25/2021
17,islands   [mailbox + countdown!],All Genres,2355384,15,1095952027,724817,96593,"Welcome to Islands!

🌲 Build your own island
👩‍🌾 Create huge farms
🐔 Raise animals
💸 Sell items to make money
⚔️ Loot monsters and bosses
👨‍🍳 Cook tasty delicacies
🔥 And more!

Controls:
[E]: Open inventory

👑 Creators:
SnickTrix (https://twitter.com/lukechatton)
spleenhook (https://twitter.com/spleenhook)

🥁Music by https://twitter.com/too_many_fish",4/8/2020,5/25/2021
18,theme park tycoon 2,Building,4209425,6,622426823,1141315,125803,"In Theme Park Tycoon 2 you get your own plot of land to build your own theme park on, together with your friends! Construct a range of rides the way you want and design your own roller coasters to truly make your park your own! Select from hundreds of scenery pieces to decorate your park further!",1/2/2012,5/4/2021
19,egg farm simulator,All Genres,816426,6,106381633,235192,39181,"Welcome to yet another simulator. This one is about eggs. 

[2019-12-03]
- Auto-Eggs
- Winter map
- Bug Fixes
",5/22/2018,5/24/2021
20,welcome to bloxburg,Town and City,10075378,12,4460566764,3296972,293168,"Build and design your own amazing house, own cool vehicles, hang out with friends, work, roleplay or explore the city of Bloxburg. The possibilities are endless!

Version: 0.9.7
Update Log: https://devforum.roblox.com/t/--/361910",11/4/2014,5/15/2021
21,  super power training simulator,Fighting,1211747,30,214798563,352615,133436,"💥 Welcome to Superpowers Training Simulator! 💥
👊🏻 Train your Fists and punch like Superman!
💪🏻 Train your Body and become Invincible!
✨ Train your mind to achieve psychic powers!
⚡️ Train your speed to the point of teleportation!
☄️ Take the path of Superhero or Supervillain!
🏆 Compete in Global Leaderboards, and much more!

📙 UPDATE LOG {V 1.7} 📙
- 🎃 Added Day & Night Cycle System!
- 🔥  Added Special Halloween NPCs Quests & Skills!
- ⚜️ Added Many Secret Training Areas!
- 🔰  Added New Auras & Skills Tier!
- ⚔️ Removed Safe Zone In City Port!
- 👑 Give +5 Tokens Every Minute Outside Safe Zone!
- 🔧 Fixed OP Weight Glitch & Many Minor Bugs!

[ By Thai Devs Team 😊 ]",8/10/2018,9/4/2020
22,vaumora! creatures of sonaria,All Genres,369367,51,66649905,108343,12751,"Creatures of Sonaria is a WIP of a creature survival game!

⚡VAUMORA IS HERE! Mission creature that can be acquired during special weather events! Join our communities to learn more⚡

🐞New creature, Militrua! Acquire this one by completing a secret mission!

🦑Play as a variety of creatures
🏞️Grow up and survive in a beautiful world
⚠️Play as: bleeder/toxic/tank/flier/etc!
☄️ Use exciting combat abilities
👥Hang out and socialize with friends
⚔️Group with others and battle as a team
🏹Hunt in a vast universe
♻️Save, trade, and store your grown creatures
🐣Nest in adorable babies, and act as their parent to raise them!
⛈️Survive various seasons, weather, and disasters
✨ Reach a full adult, and mutate to become even stronger
🩹 Survive harsh battles, and earn permanent battle scars
",6/25/2020,5/24/2021
23,[ super luck ] bubble gum simulator,All Genres,3173187,10,1122492046,919361,119676,"Super Luck Event!
- 🍀 2x Luck
- 💪 2x Mythic
- ⚡ 2x Hatch Speed

🚨 UPDATE 75 🚨
🏆 New Bubble Pass for season 20!
💪 Competitive leaderboards are back!
🥚 New egg in the Shadow Realm (Corrupted Egg)
🐶 16 new pets!
🔥 ??
💰 60% off sale on all gamepasses!
💸 50% off sale on all boosts!
🐰 Easter event has ended! We hope you enjoyed our biggest egg hunt yet
🎮 Bug fixes for gamepad auto-hatch.

Subscribe to the Rumble Studios YouTube channel to redeem exclusive rewards, including a special pet, more inventory space, and free boosts! 👍 Tutorial: https://youtu.be/NweUYpsrS3c

Welcome to Bubble Gum Simulator! Blow bubbles to reach new heights in the clouds. Sell your bubbles or collect coins to buy upgrades! Hatch pets as companions to help you on your adventure.

A game by Rumble Studios.",10/23/2018,5/8/2021
24, super power fighting simulator,Fighting,452028,20,117220777,139543,12186,"💥 Train your body, fists, mind and speed in this ultimate training game! Unlock new skills, reach powerful ranks, team up with friends, venture to new islands & much more! 💥

🔥 This Game Has Free VIP Servers! 🔥

🚀 Update Log (V11.0) 🚀
- 🌌 Added Galaxy Ancient Item Chest!
- ☄️ 3 New Boss Skills From Quests!
- 🐉 Added New Powerful Transformations!
- 💰 Added New Limited Time Special Offers To Shop!
- 🔧 Bug Fixes & Improvements

⚔️ Bounty, Killstreaks & Reputation can not be gained or lost in VIP Servers or Space Dimension! ⚔️

[ Inspired By Super Power Training Simulator ]",12/3/2018,5/16/2021
25,[ gold boost!] giant simulator,All Genres,439608,15,107906806,106808,19605,"🧬 Pet evolutions are now available! Merge 5 pets into a new Evolved pet that is 2x stronger!

[XBOX]
🎮 Giant Simulator is now on Xbox!

👍Like ⭐Favorite and 🔊Follow the game for more updates!

[Group - Join for in game bonus!]
https://www.roblox.com/groups/3497226/Mithril-Games

Welcome to Giant Simulator! The most competitive simulator on Roblox! Train to become the strongest, fastest, richest player around! Find epic loot and legendary pets as you level up and dominate the server 😈. Can you become a Giant legend?",3/22/2019,5/25/2021
26,[ bleach ] anime battle arena,Fighting,501171,12,217473397,200065,32636,"Check the second page of the roster to see JoJo characters.
 
Controls:
Shift: Sprint
Q: Dodge
F: Block
Basic Attack: Mouse1
Space+Mouse1: Aerial Attack
Combine Basic Attacks and Aerial Attacks to discover new combos.
Use 1,2,3,4 for your character special moves.
Transformation: G

Developers:  Melon_Sensei, Chicken_Man, Snakeworl
Contributors: BIGPAPAMAUI, Sprano, K1LLUA, Nilvaat, jjjakey, Kogrin, rikaid, Estheking",2/25/2018,5/21/2021
27,farming and friends [xbox update!],All Genres,221600,8,36409492,60913,11376,"Farming and Friends is a fun, cooperative farming experience. No longer will you farm with your hands! Use your own tractors, plows, and other pieces of equipment to tend to your crops and take care of your animals. Expand and customize your farm however you like.

Supported on PC, Mobile and Xbox devices!

If you experience any issues, contact our mods!
Links below you our group page and social media.

Make sure to give us a like and don't forget to hit that follow button to get notified of all the updates!",1/21/2019,5/23/2021
28,[arcane knight + 5x stats] a hero's destiny,All Genres,97253,12,23897611,42917,8047,"Train with friends, battle difficult enemies, and complete challenging quests while working your way towards becoming the strongest! 

Changelog
- New legendary class
- Three new ranks
- Some minor changes to the map and bug fixes

Controls
Z - Train
X - Lockon
N - Equip Sword (Ninja)
Q/E/R/F/C - Abilities
G - Awakening
CTRL - Sprint",3/1/2021,5/22/2021
29,  lumber tycoon 2,Adventure,3741188,6,788778871,1556735,220187,"Welcome to Lumberland!

Deforest your surroundings and build your dreams! Check the changelog to keep up with the most recent updates. You can find it in the game menu.

Join the community-run fan group! https://www.roblox.com/Groups/Group.aspx?gid=2658221

Thanks for playing!",7/30/2009,5/7/2021
30,fossil egg tapping gods,All Genres,89692,12,9523214,68666,5905,"😱 Use the code ""ALIEN"" and LIKE the game for a FREE PET!

👑 Use the code ""RELEASE"" and LIKE the game for 500 Taps!
NEW CODE AT 75,000 LIKES!

USE CODE RUSSO WHEN BUYING ROBUX OR PREMIUM! 💙🥶

RAINBOW DINO UPDATE!
New Rainbow Dino Egg!
10 New Pets!
New Boss
SECRET Boss Pet
VIP Pass
New VIP Area with 5x Boost
2 New Titles
1 New Rebirth Button
Bug fixes!

Welcome to Tapping Gods! In this game you use your Tap button to earn Taps, in which you can Rebirth, and gain Diamonds! Buy pets with your Taps, and use Diamonds to unlock Pets, which give you better multipliers!

SHUTDOWN = UPDATE/FIXES

⭐ Join BlueDevGroup! ⭐
Produced by @RussoTalks @Ayzilo_o @DobDevv  @OneLegitDev @FilteredScript

Pets modeled by @CursedHyp3r @Yzbzi_7 @Domiscius
Thumbnail by @XandsGFX
Game Icons by @DobDevv",7/13/2020,5/25/2021
31,ninja tycoon (v3.7),All Genres,501076,8,129600251,123734,15989,"Like Demon Slayer? try my tycoon: https://www.roblox.com/games/6490016198/GRAND-OPENING-Slayer-Tycoon
Like One Piece? Try my tycoon: https://www.roblox.com/games/1501125290/One-Piece-Tycoon
------------------------------
E - Dash (Button on mobile) (Y button on console)
Double Space - Double Jump
Jump on Wall - Wall Climbing
*Activate Gamepass Modes in the Robux GUI, click the one you own
------------------------------
Join the discoard to read the update log.
------------------------------
Be aware that this game doesn't save tycoons and weapons. It was not designed to be that way.
------------------------------
This is a combat-based tycoon game inspired by the Naruto, Naruto Shippuden, and Boruto anime / manga.
-----------------------------------
DEVS:
Coldjason (Me) - Creator
AzuriteStorm - Map Builder
",2/28/2015,5/8/2021
32,scp-3008 [2.6],Horror,950084,14,128354992,305149,30256,"Don't follow any links put in-game. They will scam you!

Thumbnail by: @Plague_Dash
Version 2.6

SCP-3008, the infinite IKEA. Wander through the vast horror land of furniture located within SCP-3008-1. Build a base, survive from employees. Stay alive.

: Please keep in mind, this game is early in development, so do note that bugs will most likely occur.",1/20/2019,4/19/2021
33,[2x luck] saber simulator,Fighting,1423541,20,487060530,451547,71798,"Welcome to Saber Simulator!

HOW TO PLAY:
⚡ Train your character by swinging your sword and gathering strength. 
💪🏻 Use strength to fight other players. 
💰 Sell your strength for coins and upgrade your character in the shop. 
📈 Try to get to the top of the leaderboards!

Latest Update: [Update 78]: v2.053
- New Sword (Fusionblade)
- 9 new pets and a new island
- Double Luck Event continues
- New Features Coming Soon!

Updates every Friday at 10 PM PST!

Join the group HD Games. for an in-game reward:
💰 20% Extra Coins
⚡ Chat Tag
👑 Name Tag 

Made by HD Games",9/7/2019,5/22/2021
34,the neighborhood of robloxia,Town and City,1882670,45,315564146,467079,78360,"What's NEW in this version (6.9.3.0)?
• Experience improvements to the outfit editor.
• Added improvements to the toolbar.",9/15/2012,5/25/2021
35,[update 14] blox fruits,Adventure,1535696,12,1492460502,679697,50707,"🔵🔴 UPDATE 14 OUT NOW! 🔴🔵
Rumble Awakening + Island + Cyborg ++ MORE!

Welcome to Blox Fruits! Become a master swordsman or a powerful blox fruit user as you train to become the strongest player to ever live. You can choose to fight against tough enemies or have powerful boss battles while sailing across the ocean to find hidden secrets. 

Current level cap: 1525
Current fruits in the game:
Bomb, Spike, Chop, Spring, Smoke, Flame, Ice, Sand, Dark, Light, Magma, Rubber, Quake, Human Buddha, Barrier String, Bird Phoenix, Rumble, Paw, Gravity, Dough, Control, and Dragon!
FAQ:
- Fruits spawn in the map every hour / despawn after 20. 
- You can buy fruits from the Blox Fruits Dealer. He restocks random fruits every 4 hours 
- More info in the group description

Do not exploit or auto farm, our auto-detection will catch you and we do not appeal our bans.",1/16/2019,3/22/2021
36,[ codes ] demon slayer rpg,All Genres,431846,18,49742250,169701,18860,"Xbox Controls: https://devforum.roblox.com/t/demon-slayer-rpg-2-xbox-controls/767462

[IMPORTANT] This game is in testing, expect some bugs and glitches when playing the game. 

""Demon Slayer RPG 2"" is a fangame on the popular manga/anime series Demon Slayer created by Koyoharu Gotouge.

Slay the Evil Demons of the night or betray humanity for more power. Fight, Explore, and grow stronger as you discover new abilities and techniques. Journey into the night, either alone or with your friends. 

Developers
Higoshi - Project Lead, Programmer
Cuansety/NooberSaures - World Builder
SpectralGames/Dreadful/BenereV2- VFX
Trexori - Mesh Maker
Catcrew - Face Designer
vidgamenate - SFX, Game Design
VastFRX - UI Design

Credits: Sizzorsx (Scripting Help), ELEVAT_R(Hair Models), Globnik (Clothing)
Blotnik (Clothing)
Cycthe (Clothing)

If you wish to turn off the music, type ""!music off"" in chat.

Group: https://www.roblox.com/groups/5126223/Demon-Slayer-RPG#!/about",2/26/2020,5/20/2021
37,restaurant tycoon 2 [new worker!],Building,1787153,8,405039692,439103,46588,"Latest Update (05 / 21)
-Added delivery drivers

Create your own restaurant and serve dishes from all over the world. Keep your customers happy by cooking delicious meals and providing the best service. Start your restaurant journey today!

Subscribe For Codes:
https://www.youtube.com/ultraw

Credits:
https://twitter.com/UltrawRbx
https://twitter.com/ZynkuruRBLX

More Information:
https://devforum.roblox.com/t/t/356970
",7/1/2019,5/21/2021
38,3-2-1 blast off simulator,All Genres,385111,9,79110242,99262,10533,"An Adventure Simulator where you collect fuel to blast off on your rocket and do island challenges.  

TIP: To press buttons, make sure your FuelScoop isn't equipped!

The more fuel you add to the rocket, the higher you go and the more cash you earn.

Fly high and become a BLAST OFF LEGEND!

Latest Version 4.23",6/29/2020,5/10/2021
39,anomic,RPG,315430,45,34728977,90663,25190,"Exposed to the anarchy of a fictional desert town surrounded by the nothingness of Nevada in the early 90s, you are meant to stand on your own legs to earn money through many different ways. Join the Sheriff department and keep the crime behind a line, become a Trucker and help getting goods there where they belong to, open up your own shop selling a variety to other players, or be a dropout hiding in the canyons to make cash through illegal ways.

Make Sure to read the rules! https://devforum.roblox.com/t/-/902057

Credits :
Building : Loumec, Iy_te
Scripting : Loumec, AspectType, PassiGames

This game updates weekly on sunday noons PST!",1/7/2020,5/24/2021
40,  unboxing simulator  ,All Genres,798524,45,203278329,244002,25615,"📦 Welcome to Unboxing Simulator! 📦

⚔️ Go on a box smashing adventure! 
🤠 Unbox boxes and gifts to unlock new areas and find rare hats! 
🐣 Hatch eggs and grow a collection of powerful pets that help you become the ultimate box destroyer! 🌌 

Check the update log on the loading screen.

🚨 Follow us for updates and special codes: https://twitter.com/teamunsquared

Follow the developers!
brinkokevin - https://twitter.com/brinkokevin
Tradesmark - https://twitter.com/TradesmarkRBLX",4/1/2019,5/20/2021
41,the wild west,Western,915280,30,101039514,319170,49077,"🔧 EARLY ACCESS | SHUTDOWN = UPDATE
NEWS: The game is free forever! Data has not been wiped.

🤠 Welcome to The Wild West! Become a seasoned explorer, hit gold in the Mountains, or take for yourself and steal as an Outlaw. Stalk rare prey as a hunter, or live the law and hunt Outlaws for a reward. The experience is yours to make in this Western themed adventure RPG. Will you become the next legendary Cowboy?

⭐👍 If you'd like to support us please like and favorite the game!

🔔 Remember to hit the FOLLOW button to get notified when we release new updates.

Check our Social Links and join the community for updates on the game!

Rules and Guidelines: https://devforum.roblox.com/t/-/1234273

NOTE: VIP servers have reduced loot values for fairness.",9/5/2018,5/25/2021
42,gacha online| custom oc rp (roleplay),All Genres,969780,35,324668419,164415,71038,"➡️ Gacha Online's content is 100% free, supported by your donations and premium playtime! ⬅️

( Game Version 1.498 - 5/9/21 - Minor update (NEW CONTENT COMING SOON!))

~~~~~~~ Welcome to Gacha Online BETA! ~~~~~~~ (*・ω・)ﾉ
Customize your Gacha OCs in Roblox, just like Gacha Life -- ⭐BUT MULTIPLAYER!⭐

Have fun Roleplaying, Exploring, and just hanging out with new friends!
-- Make Gacha Mini Movies live and with your friends!
-- Customize your characters right next to your buddies!
-- COMPLETELY FREE CUSTOMIZATION!

-- Made with ❤️ by Snowdust --

Remember to like 👍 the game, and tell your friends about it!

This is an official fangame of the Gacha Club and Gacha Life series made by Lunime.
You can find them on the app store!


Map Credits:
Middle Park & Cat Cafe: Game ""Sweet Dance""
School Plaza, Gym, Nurse, Pool & Office: ""Maddoktor2""",7/5/2020,5/25/2021
43,mall tycoon,All Genres,562754,6,117209515,179155,13125,"Lagging? Make a FREE VIP server

Create your own personalized Mall, with over 35 stores to choose from. Hey, look at that… some people are starting to visit your mall!

🏨🚶‍♂‍🚶‍♀‍ 

Build the correct types of stores to keep your customers happy. These customers are not easy to please but if you manage to do so you will be rewarded with large TIPS! Wow, more customers are coming to your mall…

🏨🚶‍♂‍🚶‍♀‍ 🚶‍♂‍🚶‍♀‍ 🚶‍♂‍🚶‍♀‍ 

Paint your walls and decorate your mall so it is unique. Unlock a variety of awesome set pieces at the end of every floor. Now your mall is getting really busy…

🏨🚶‍♂‍🚶‍♀‍ 🚶‍♂‍🚶‍♀‍ 🚶‍♂‍🚶‍♀‍ 🚶‍♂‍🚶‍♀‍ 🚶‍♂‍🚶‍♀‍ 🚶‍♂‍🚶‍♀‍ 🚶‍♂‍🚶‍♀‍ 🚶‍♂‍🚶‍♀‍

Create all 12 floors then stand on the roof and look out into the distance. You are a champion; you have conquered the Roblox Mall. Everything the light touches is your kingdom (except all the other malls, the road, and generally anything not within the area of your Mall). ",9/25/2020,5/14/2021
44,dragon ball z final stand,Fighting,1403852,26,387632175,461677,53179,"Thanks for playing, but this game isn't being actively developed anymore, so don't expect any updates or fixes.

CONTROLS BELOW PLEASE READ

Left Click = Punch 
Right Click = Guard Break
X = Charge (hold longer for better)
F = Block
Q = Dodge
Z = Sense Ki/Scouter
M = Menu
Double tap W while flying to go faster
Hold Space = Fly
Hold Ctrl = Descend

Scripter: SnakeWorl
Builder: AfroDs
Spanish Translation: Jeffreyubi",11/1/2016,1/24/2021
